ticker,company_name,cik,fiscal_year,filing_type,filing_date,data_source,revenue,gross_profit,operating_income,net_income,cash_and_equivalents,total_assets,total_liabilities,long_term_debt,current_debt,operating_cash_flow,capex,shares_outstanding,depreciation_amortization,interest_expense,total_debt,sector_theme,source_type,data_mode,fundamentals_refresh_timestamp
BK,BK,1390777,2023,10-K,2024-02-28,sec_companyfacts,17502000000.0,,,3288000000.0,8342000000.0,409953000000.0,368944000000.0,,,5912000000.0,1220000000.0,,,16303000000.0,,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
BK,BK,1390777,2024,10-K,2025-02-27,sec_companyfacts,18619000000.0,,,4543000000.0,5577000000.0,416064000000.0,374300000000.0,,,687000000.0,1469000000.0,,,,,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
BK,BK,1390777,2025,10-K,2026-02-25,sec_companyfacts,20080000000.0,,,5583000000.0,7959000000.0,472300000000.0,427492000000.0,,,6730000000.0,1553000000.0,,,,,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
BLK,BLK,2012383,2024,10-K,2025-02-25,sec_companyfacts,20407000000.0,,8295000000.0,6512000000.0,12779000000.0,138615000000.0,89260000000.0,,,4956000000.0,255000000.0,,270000000.0,,,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
BLK,BLK,2012383,2025,10-K,2026-02-25,sec_companyfacts,24216000000.0,,7619000000.0,5942000000.0,11490000000.0,169998000000.0,108456000000.0,,,3927000000.0,375000000.0,,297000000.0,,,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
BX,BX,1393818,2022,10-K,2023-02-24,sec_companyfacts,8517673000.0,,3461789000.0,2988909000.0,4493715000.0,42524227000.0,22843160000.0,,,6336253000.0,235497000.0,,,317225000.0,,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
BX,BX,1393818,2023,10-K,2024-02-23,sec_companyfacts,8022841000.0,,2957714000.0,2444253000.0,3272063000.0,40287530000.0,22212316000.0,,,4056906000.0,224231000.0,,,431868000.0,,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
BX,BX,1393818,2024,10-K,2025-02-28,sec_companyfacts,13229968000.0,,6459480000.0,5437809000.0,2176192000.0,43469875000.0,23974860000.0,,,3481662000.0,61409000.0,,,443688000.0,,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
BX,BX,1393818,2025,10-K,2026-02-27,sec_companyfacts,14450265000.0,,7171646000.0,6046623000.0,2854682000.0,47708975000.0,25827803000.0,,,4663161000.0,115703000.0,,,508314000.0,,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
CBOE,CBOE,1374310,2022,10-K,2023-02-17,sec_companyfacts,,1741700000.0,432900000.0,235000000.0,979900000.0,6998900000.0,1477200000.0,1437300000.0,304700000.0,651100000.0,59800000.0,,166800000.0,,1742000000.0,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
